COUNTRY_CODE,COUNTRY_NAME,CONFIRMED,DEATHS,RECOVERED,ACTIVE,REGION_NAME,REGION_CODE,REPORT_ID,REPORT_DATE,PROV_ID,PROV_NAME,DATA_ID
1,Afghanistan,36263,1269,25198,9796,Eastern Mediterranean,5,1,2020-03-11,2,WHO,1
2,Albania,4880,144,2745,1991,Europe,2,2,2020-03-12,2,WHO,2
3,Algeria,27973,1163,18837,7973,Africa,3,3,2020-03-13,2,WHO,3
4,Andorra,907,52,803,52,Europe,2,4,2020-03-14,2,WHO,4
5,Angola,950,41,242,667,Africa,3,5,2020-03-15,2,WHO,5
6,Antigua and Barbuda,86,3,65,18,Americas,1,6,2020-03-16,2,WHO,6
7,Argentina,167416,3059,72575,91782,Americas,1,7,2020-03-17,2,WHO,7
8,Armenia,37390,711,26665,10014,Europe,2,8,2020-03-18,2,WHO,8
9,Australia,15303,167,9311,5825,Western Pacific,4,9,2020-03-19,2,WHO,9
10,Austria,20558,713,18246,1599,Europe,2,10,2020-03-20,2,WHO,10
11,Azerbaijan,30446,423,23242,6781,Europe,2,11,2020-03-21,2,WHO,11
12,Bahamas,382,11,91,280,Americas,1,12,2020-03-22,2,WHO,12
13,Bahrain,39482,141,36110,3231,Eastern Mediterranean,5,13,2020-03-23,2,WHO,13
14,Bangladesh,226225,2965,125683,97577,South-East Asia,6,14,2020-03-24,2,WHO,14
15,Barbados,110,7,94,9,Americas,1,15,2020-03-25,2,WHO,15
16,Belarus,67251,538,60492,6221,Europe,2,16,2020-03-26,2,WHO,16
17,Belgium,66428,9822,17452,39154,Europe,2,17,2020-03-27,2,WHO,17
18,Belize,48,2,26,20,Americas,1,18,2020-03-28,2,WHO,18
19,Benin,1770,35,1036,699,Africa,3,19,2020-03-29,2,WHO,19
20,Bhutan,99,0,86,13,South-East Asia,6,20,2020-03-30,2,WHO,20
21,Bolivia,71181,2647,21478,47056,Americas,1,21,2020-03-31,2,WHO,21
